for S =1 :
y,x,f(x)
0.00799695,0.759997,0.0107917
0.00801853,0.761997,0.0107939
0.00804012,0.763997,0.0107961
0.00806172,0.765997,0.0107984
0.00808332,0.767997,0.0108006
0.00810492,0.769997,0.0108028
0.00812653,0.771997,0.010805
0.00814814,0.773997,0.0108073
0.00816976,0.775997,0.0108095
0.00819138,0.777997,0.0108117
0.00821301,0.779997,0.0108139
0.00823463,0.781997,0.0108162
0.00825627,0.783997,0.0108184
0.00827791,0.785997,0.0108206
0.00829955,0.787997,0.0108229
0.0083212,0.789997,0.0108251
0.00834285,0.791997,0.0108273
0.00836451,0.793997,0.0108296
0.00838617,0.795997,0.0108318
0.00840784,0.797997,0.0108341
0.00842951,0.799997,0.0108363
0.00845118,0.801997,0.0108385
0.00847286,0.803997,0.0108408
0.00849455,0.805997,0.010843
0.00851623,0.807997,0.0108453
0.00853793,0.809997,0.0108475
0.00855962,0.811997,0.0108498
0.00858133,0.813997,0.010852
0.00860303,0.815997,0.0108542
0.00862474,0.817997,0.0108565
0.00864646,0.819997,0.0108587
0.00866818,0.821997,0.010861
0.0086899,0.823996,0.0108632
0.00871163,0.825996,0.0108655
0.00873336,0.827996,0.0108677
0.0087551,0.829996,0.01087
0.00877684,0.831996,0.0108723
0.00879859,0.833996,0.0108745
0.00882034,0.835996,0.0108768
0.0088421,0.837996,0.010879
0.00886386,0.839996,0.0108813
0.00888562,0.841996,0.0108835
0.00890739,0.843996,0.0108858
0.00892917,0.845996,0.0108881
0.00895094,0.847996,0.0108903
0.00897273,0.849996,0.0108926
0.00899452,0.851996,0.0108949
0.00901631,0.853996,0.0108971
0.0090381,0.855996,0.0108994
0.00905991,0.857996,0.0109017
0.00908171,0.859996,0.0109039
0.00910352,0.861996,0.0109062
0.00912534,0.863996,0.0109085
0.00914715,0.865996,0.0109107
0.00916898,0.867996,0.010913
0.00919081,0.869996,0.0109153
0.00921264,0.871996,0.0109175
0.00923448,0.873996,0.0109198
0.00925632,0.875996,0.0109221
0.00927817,0.877996,0.0109244
0.00930002,0.879996,0.0109267
0.00932187,0.881996,0.0109289
0.00934373,0.883996,0.0109312
0.0093656,0.885996,0.0109335
0.00938747,0.887996,0.0109358
0.00940934,0.889996,0.0109381
0.00943122,0.891996,0.0109403
0.0094531,0.893996,0.0109426
0.00947499,0.895996,0.0109449
0.00949688,0.897996,0.0109472
0.00951878,0.899996,0.0109495
0.00954068,0.901995,0.0109518
0.00956258,0.903995,0.0109541
0.00958449,0.905995,0.0109563
0.00960641,0.907995,0.0109586
0.00962833,0.909995,0.0109609
0.00965025,0.911995,0.0109632
0.00967218,0.913995,0.0109655
0.00969412,0.915995,0.0109678
0.00971605,0.917995,0.0109701
0.009738,0.919995,0.0109724
0.00975994,0.921995,0.0109747
0.0097819,0.923995,0.010977
0.00980385,0.925995,0.0109793
0.00982581,0.927995,0.0109816
0.00984778,0.929995,0.0109839
0.00986975,0.931995,0.0109862
0.00989172,0.933995,0.0109885
0.0099137,0.935995,0.0109908
0.00993568,0.937995,0.0109931
0.00995767,0.939995,0.0109954
0.00997967,0.941995,0.0109977
0.0100017,0.943995,0.011
0.0100237,0.945995,0.0110024
0.0100457,0.947995,0.0110047
0.0100677,0.949995,0.011007
0.0100897,0.951995,0.0110093
0.0101117,0.953995,0.0110116
0.0101337,0.955995,0.0110139
0.0101558,0.957995,0.0110162
0.0101778,0.959995,0.0110186
0.0101999,0.961995,0.0110209
0.0102219,0.963995,0.0110232
0.0102439,0.965995,0.0110255
0.010266,0.967995,0.0110278
0.0102881,0.969995,0.0110302
0.0103101,0.971995,0.0110325
0.0103322,0.973995,0.0110348
0.0103543,0.975995,0.0110371
0.0103763,0.977995,0.0110395
0.0103984,0.979994,0.0110418
0.0104205,0.981994,0.0110441
0.0104426,0.983994,0.0110464
0.0104647,0.985994,0.0110488
0.0104868,0.987994,0.0110511
0.0105089,0.989994,0.0110534
0.010531,0.991994,0.0110558
0.0105531,0.993994,0.0110581
0.0105752,0.995994,0.0110604
0.0105974,0.997994,0.0110628
0.0106195,0.999994,0.0110651
0.0106416,1.00199,0.0110674
0.0106638,1.00399,0.0110698
0.0106859,1.00599,0.0110721
0.0107081,1.00799,0.0110745
0.0107302,1.00999,0.0110768
0.0107524,1.01199,0.0110791
0.0107745,1.01399,0.0110815
0.0107967,1.01599,0.0110838
0.0108189,1.01799,0.0110862
0.010841,1.01999,0.0110885
0.0108632,1.02199,0.0110909
0.0108854,1.02399,0.0110932
0.0109076,1.02599,0.0110956
0.0109298,1.02799,0.0110979
0.010952,1.02999,0.0111003
0.0109742,1.03199,0.0111026
0.0109964,1.03399,0.011105
0.0110186,1.03599,0.0111073
0.0110408,1.03799,0.0111097
0.011063,1.03999,0.0111121
0.0110853,1.04199,0.0111144
0.0111075,1.04399,0.0111168
0.0111297,1.04599,0.0111191
0.011152,1.04799,0.0111215
0.0111742,1.04999,0.0111239
0.0111965,1.05199,0.0111262
0.0112187,1.05399,0.0111286
0.011241,1.05599,0.011131
0.0112632,1.05799,0.0111333
0.0112855,1.05999,0.0111357
0.0113078,1.06199,0.0111381
0.0113301,1.06399,0.0111404
0.0113523,1.06599,0.0111428
0.0113746,1.06799,0.0111452
0.0113969,1.06999,0.0111475
0.0114192,1.07199,0.0111499
0.0114415,1.07399,0.0111523
0.0114638,1.07599,0.0111547
0.0114861,1.07799,0.011157
0.0115085,1.07999,0.0111594
0.0115308,1.08199,0.0111618
0.0115531,1.08399,0.0111642
0.0115754,1.08599,0.0111666
0.0115978,1.08799,0.0111689
0.0116201,1.08999,0.0111713
0.0116425,1.09199,0.0111737
0.0116648,1.09399,0.0111761
0.0116872,1.09599,0.0111785
0.0117095,1.09799,0.0111809
0.0117319,1.09999,0.0111833
0.0117543,1.10199,0.0111856
0.0117766,1.10399,0.011188
0.011799,1.10599,0.0111904
0.0118214,1.10799,0.0111928
0.0118438,1.10999,0.0111952
0.0118662,1.11199,0.0111976
0.0118886,1.11399,0.0112
0.011911,1.11599,0.0112024
0.0119334,1.11799,0.0112048
0.0119558,1.11999,0.0112072
0.0119782,1.12199,0.0112096
0.0120006,1.12399,0.011212
0.0120231,1.12599,0.0112144
0.0120455,1.12799,0.0112168
0.0120679,1.12999,0.0112192
0.0120904,1.13199,0.0112216
0.0121128,1.13399,0.011224
0.0121353,1.13599,0.0112264
0.0121577,1.13799,0.0112288
0.0121802,1.13999,0.0112312
0.0122026,1.14199,0.0112337
0.0122251,1.14399,0.0112361
0.0122476,1.14599,0.0112385
0.0122701,1.14799,0.0112409
0.0122926,1.14999,0.0112433
0.012315,1.15199,0.0112457
0.0123375,1.15399,0.0112481
0.01236,1.15599,0.0112506
0.0123825,1.15799,0.011253
0.012405,1.15999,0.0112554
0.0124276,1.16199,0.0112578
0.0124501,1.16399,0.0112602
0.0124726,1.16599,0.0112627
0.0124951,1.16799,0.0112651
0.0125177,1.16999,0.0112675
0.0125402,1.17199,0.0112699
0.0125627,1.17399,0.0112724
0.0125853,1.17599,0.0112748
0.0126078,1.17799,0.0112772
0.0126304,1.17999,0.0112797
0.012653,1.18199,0.0112821
0.0126755,1.18399,0.0112845
0.0126981,1.18599,0.011287
0.0127207,1.18799,0.0112894
0.0127433,1.18999,0.0112918
0.0127658,1.19199,0.0112943
0.0127884,1.19399,0.0112967
0.012811,1.19599,0.0112992
0.0128336,1.19799,0.0113016
0.0128562,1.19999,0.011304
0.0128788,1.20199,0.0113065
0.0129015,1.20399,0.0113089
0.0129241,1.20599,0.0113114
0.0129467,1.20799,0.0113138
0.0129693,1.20999,0.0113163
0.012992,1.21199,0.0113187
0.0130146,1.21399,0.0113212
0.0130373,1.21599,0.0113236
0.0130599,1.21799,0.0113261
0.0130826,1.21999,0.0113285
0.0131052,1.22199,0.011331
0.0131279,1.22399,0.0113334
0.0131506,1.22599,0.0113359
0.0131732,1.22799,0.0113383
0.0131959,1.22999,0.0113408
0.0132186,1.23199,0.0113433
0.0132413,1.23399,0.0113457
0.013264,1.23599,0.0113482
0.0132867,1.23799,0.0113506
0.0133094,1.23999,0.0113531
0.0133321,1.24199,0.0113556
0.0133548,1.24399,0.011358
0.0133775,1.24599,0.0113605
0.0134002,1.24799,0.011363
0.013423,1.24999,0.0113654
0.0134457,1.25199,0.0113679
0.0134684,1.25399,0.0113704
0.0134912,1.25599,0.0113728
0.0135139,1.25799,0.0113753
0.0135367,1.25999,0.0113778
0.0135594,1.26199,0.0113803
0.0135822,1.26399,0.0113827
0.013605,1.26599,0.0113852
0.0136277,1.26799,0.0113877
0.0136505,1.26999,0.0113902
0.0136733,1.27199,0.0113927
0.0136961,1.27399,0.0113951
0.0137189,1.27599,0.0113976
0.0137417,1.27799,0.0114001
0.0137645,1.27999,0.0114026
0.0137873,1.28199,0.0114051
0.0138101,1.28399,0.0114076
0.0138329,1.28599,0.0114101
0.0138558,1.28799,0.0114126
0.0138786,1.28999,0.011415
0.0139014,1.29199,0.0114175
0.0139242,1.29399,0.01142
0.0139471,1.29599,0.0114225
0.0139699,1.29799,0.011425
0.0139928,1.29999,0.0114275
0.0140156,1.30199,0.01143
0.0140385,1.30399,0.0114325
0.0140614,1.30599,0.011435
0.0140843,1.30799,0.0114375
0.0141071,1.30999,0.01144
0.01413,1.31199,0.0114425
0.0141529,1.31399,0.011445
0.0141758,1.31599,0.0114475
0.0141987,1.31799,0.01145
0.0142216,1.31999,0.0114526
0.0142445,1.32199,0.0114551
0.0142674,1.32399,0.0114576
0.0142903,1.32599,0.0114601
0.0143133,1.32799,0.0114626
0.0143362,1.32999,0.0114651
0.0143591,1.33199,0.0114676
0.014382,1.33399,0.0114701
0.014405,1.33599,0.0114727
0.0144279,1.33799,0.0114752
0.0144509,1.33999,0.0114777
0.0144739,1.34199,0.0114802
0.0144968,1.34399,0.0114827
0.0145198,1.34599,0.0114853
0.0145428,1.34799,0.0114878
0.0145657,1.34999,0.0114903
0.0145887,1.35199,0.0114928
0.0146117,1.35399,0.0114954
0.0146347,1.35599,0.0114979
0.0146577,1.35799,0.0115004
0.0146807,1.35999,0.011503
0.0147037,1.36199,0.0115055
0.0147267,1.36399,0.011508
0.0147497,1.36599,0.0115106
0.0147728,1.36799,0.0115131
0.0147958,1.36999,0.0115156
0.0148188,1.37199,0.0115182
0.0148419,1.37399,0.0115207
0.0148649,1.37599,0.0115233
0.014888,1.37799,0.0115258
0.014911,1.37999,0.0115283
0.0149341,1.38199,0.0115309
0.0149571,1.38399,0.0115334
0.0149802,1.38599,0.011536
0.0150033,1.38799,0.0115385
0.0150264,1.38999,0.0115411
0.0150494,1.39199,0.0115436
0.0150725,1.39399,0.0115462
0.0150956,1.39599,0.0115487
0.0151187,1.39799,0.0115513
0.0151418,1.39999,0.0115538
0.0151649,1.40199,0.0115564
0.0151881,1.40399,0.0115589
0.0152112,1.40599,0.0115615
0.0152343,1.40799,0.0115641
0.0152574,1.40999,0.0115666
0.0152806,1.41199,0.0115692
0.0153037,1.41399,0.0115717
0.0153269,1.41599,0.0115743
0.01535,1.41799,0.0115769
0.0153732,1.41999,0.0115794
0.0153963,1.42199,0.011582
0.0154195,1.42399,0.0115846
0.0154427,1.42599,0.0115871
0.0154658,1.42799,0.0115897
0.015489,1.42999,0.0115923
0.0155122,1.43199,0.0115949
0.0155354,1.43399,0.0115974
0.0155586,1.43599,0.0116
0.0155818,1.43799,0.0116026
0.015605,1.43999,0.0116052
0.0156282,1.44199,0.0116077
0.0156514,1.44399,0.0116103
0.0156747,1.44599,0.0116129
0.0156979,1.44799,0.0116155
0.0157211,1.44999,0.0116181
0.0157444,1.45199,0.0116207
0.0157676,1.45399,0.0116232
0.0157909,1.45599,0.0116258
0.0158141,1.45799,0.0116284
0.0158374,1.45999,0.011631
0.0158606,1.46199,0.0116336
0.0158839,1.46399,0.0116362
0.0159072,1.46599,0.0116388
0.0159305,1.46799,0.0116414
0.0159537,1.46999,0.011644
0.015977,1.47199,0.0116466
0.0160003,1.47399,0.0116492
0.0160236,1.47599,0.0116518
0.0160469,1.47799,0.0116544
0.0160703,1.47999,0.011657
0.0160936,1.48199,0.0116596
0.0161169,1.48399,0.0116622
0.0161402,1.48599,0.0116648
0.0161635,1.48799,0.0116674
0.0161869,1.48999,0.01167
0.0162102,1.49199,0.0116726
0.0162336,1.49399,0.0116752
0.0162569,1.49599,0.0116778
0.0162803,1.49799,0.0116804
0.0163037,1.49999,0.0116831
0.016327,1.50199,0.0116857
0.0163504,1.50399,0.0116883
0.0163738,1.50599,0.0116909
0.0163972,1.50799,0.0116935
0.0164205,1.50999,0.0116961
0.0164439,1.51199,0.0116988
0.0164673,1.51399,0.0117014
0.0164907,1.51599,0.011704
0.0165142,1.51799,0.0117066
0.0165376,1.51999,0.0117093
0.016561,1.52199,0.0117119
0.0165844,1.52399,0.0117145
0.0166079,1.52599,0.0117171
0.0166313,1.52799,0.0117198
0.0166547,1.52999,0.0117224
0.0166782,1.53199,0.011725
0.0167016,1.53399,0.0117277
0.0167251,1.53599,0.0117303
0.0167486,1.53799,0.011733
0.016772,1.53999,0.0117356
0.0167955,1.54199,0.0117382
0.016819,1.54399,0.0117409
0.0168425,1.54599,0.0117435
0.0168659,1.54799,0.0117462
0.0168894,1.54999,0.0117488
0.0169129,1.55199,0.0117514
0.0169364,1.55399,0.0117541
0.01696,1.55599,0.0117567
0.0169835,1.55799,0.0117594
0.017007,1.55999,0.011762
0.0170305,1.56199,0.0117647
0.0170541,1.56399,0.0117673
0.0170776,1.56599,0.01177
0.0171011,1.56799,0.0117727
0.0171247,1.56999,0.0117753
0.0171482,1.57199,0.011778
0.0171718,1.57399,0.0117806
0.0171954,1.57599,0.0117833
0.0172189,1.57799,0.011786
0.0172425,1.57999,0.0117886
0.0172661,1.58199,0.0117913
0.0172897,1.58399,0.0117939
0.0173133,1.58599,0.0117966
0.0173369,1.58799,0.0117993
0.0173605,1.58999,0.011802
0.0173841,1.59199,0.0118046
0.0174077,1.59399,0.0118073
0.0174313,1.59599,0.01181
0.0174549,1.59799,0.0118126
0.0174785,1.59999,0.0118153
0.0175022,1.60199,0.011818
0.0175258,1.60399,0.0118207
0.0175495,1.60599,0.0118234
0.0175731,1.60799,0.011826
0.0175968,1.60999,0.0118287
0.0176204,1.61199,0.0118314
0.0176441,1.61399,0.0118341
0.0176678,1.61599,0.0118368
0.0176914,1.61799,0.0118395
0.0177151,1.61999,0.0118421
0.0177388,1.62199,0.0118448
0.0177625,1.62399,0.0118475
0.0177862,1.62599,0.0118502
0.0178099,1.62799,0.0118529
0.0178336,1.62999,0.0118556
0.0178573,1.63199,0.0118583
0.017881,1.63399,0.011861
0.0179048,1.63599,0.0118637
0.0179285,1.63799,0.0118664
0.0179522,1.63999,0.0118691
0.017976,1.64199,0.0118718
0.0179997,1.64399,0.0118745
0.0180235,1.64599,0.0118772
0.0180472,1.64799,0.0118799
0.018071,1.64999,0.0118826
0.0180948,1.65199,0.0118853
0.0181185,1.65399,0.011888
0.0181423,1.65599,0.0118908
0.0181661,1.65799,0.0118935
0.0181899,1.65999,0.0118962
0.0182137,1.66199,0.0118989
0.0182375,1.66399,0.0119016
0.0182613,1.66599,0.0119043
0.0182851,1.66799,0.0119071
0.0183089,1.66999,0.0119098
0.0183327,1.67199,0.0119125
0.0183566,1.67399,0.0119152
0.0183804,1.67599,0.0119179
0.0184042,1.67799,0.0119207
0.0184281,1.67999,0.0119234
0.0184519,1.68199,0.0119261
0.0184758,1.68399,0.0119289
0.0184996,1.68599,0.0119316
